Scientific Name,Common Names,Type,Light,Current,Aggression,Growth,Food,Difficulty,Notes,Coral Score
Acanthastrea,Lords/Lordhowensis,LPS,L3,C2,A3,G2,"F2,F4",D2,"Place on bottom. Are voracious nocturnal predators, watch placement and distance between colonies",6.0
Acropora,Acro species/Super Colored Coral,SPS,L4,C4,A1,G4,F2,D4,SPS. Pulsing or varying currents ideal. Several species of fish are known to consume or nip at polyps. Subject to infestation by Acro eating flatworms and Tegastes Acroporanus (Red Bugs). Acropora and Montipora corals make up one-third of all reef building coral species.,9.0
Actinodiscus,Mushroom Coral,SC,L1,C2,A1,G2,F1,D1,Does not like or need high levels of light,3.2
Agaricia,Tan Lettuce-Leaf Coral,SPS,L2,C4,A1,G2,F1,D4,"Agaricia is a protected coral and one cannot make legal collections of wild specimens. Place in lower to middle sections of the tank, depending on light intensity.",7.6
Alcyonium,Finger Leather/Colt/Seamans/Dead Mans Fingers/Encrusting Leather Coral,SC,L3,C2,A1,G3,"F1, F2",D1,Most species are tropical but some are cold water and would require a chiller. Some species observed as photosynthetic only.,4.4
Alveopora,Flowerpot/Daisy or Ball Coral,LPS,L3,C2,A3,G2,"F1, F4",D3,"Place in lower to middle sections of the tank, depending on light intensity. May benefit from supplemental feeding with additional meaty and nutritious foods. Very delicate, most don’t survive in aquaria.",6.4
Anchor Coral,Hammer Coral,LPS,L3,C3,A5,G4,F2,D3,Polyps are visible throughout the day and night. Member of Euphyllia genus.,7.6
Anthelia,Waving Hand/Glove Coral,P,L4,C4,A1,G3,F1,D1,A group of colonial animals having several individual polyps attached to a piece of solid substrate. Easily damaged by predatory animals and stinging corals.,7.0
Astreopora,Star Coral,SPS,L4,C4,A1,G1,"F1, F4",D3,Rare coral rarely seen in aquarium trade,8.2
Balanophyllia,Cup Coral/Porous Cup Coral/Orange Coral,NPS,L1,C2,A3,G2,"F4, F5",D4,"Solitary polyps. It is a non-photosynthetic LPS coral, needs to be target fed daily. Place on bottom or in cave like structures in tank. Tentacles only extend under no or very low light. Strong skimmer is recommended to take care of the nutrient load added by their required feeding.",6.8
